0.941 1.323 
0.066 0.300 
0.922 0.949 
0.697 0.743 
0.746 0.518 
0.978 0.983 
0.096 0.466 
0.196 0.026 
0.680 0.676 
0.091 0.163 
0.132 0.036 
0.220 0.011 
0.425 0.217 
0.012 0.063 
0.390 0.369 
0.976 1.282 
0.962 0.990 
0.988 1.362 
0.009 0.428 
0.602 0.420 
0.066 0.393 
0.237 0.159 
0.481 0.489 
0.380 0.404 
0.403 0.309 
0.012 0.455 
0.653 0.641 
0.038 0.323 
0.950 1.137 
0.606 0.658 
0.368 0.111 
0.983 1.019 
0.016 0.463 
0.963 1.024 
0.029 0.423 
0.986 1.282 
0.098 0.388 
0.035 0.084 
0.057 0.312 
0.039 0.375 
0.204 0.085 
0.307 0.412 
0.144 0.248 
0.010 0.212 
0.204 0.135 
0.957 0.941 
0.846 0.820 
0.042 0.438 
0.748 0.817 
0.977 0.959 
0.740 0.715 
0.068 0.365 
0.010 0.023 
0.073 0.257 
0.568 0.670 
0.009 0.224 
0.045 0.334 
0.258 0.249 
0.081 0.255 
0.008 0.402 
0.882 0.714 
0.011 0.136 
0.018 0.192 
0.247 0.344 
0.901 0.962 
0.033 0.025 
0.153 0.429 
0.991 1.309 
0.028 0.304 
0.007 0.486 
0.075 0.145 
0.541 0.377 
0.991 0.993 
0.025 0.492 
0.880 1.123 
0.985 1.311 
0.007 0.003 
0.136 0.063 
0.954 1.278 
0.046 0.385 
0.823 1.031 
0.949 1.324 
0.989 1.411 
0.971 1.214 
0.615 0.386 
0.979 1.008 
0.040 0.094 
0.481 0.259 
0.982 1.397 
0.157 0.187 
0.223 0.101 
0.953 0.994 
0.990 1.236 
0.101 0.175 
0.104 0.211 
0.022 0.167 
0.980 1.384 
0.233 0.483 
0.020 0.037 
0.945 1.171 
0.031 0.295 
0.988 0.994 
0.010 0.201 
0.605 0.386 
0.973 1.078 
0.307 0.059 
0.953 1.236 
0.980 1.089 
0.904 1.079 
0.980 1.027 
0.013 0.452 
0.989 1.300 
0.729 0.647 
0.017 0.073 
0.077 0.480 
0.931 1.212 
0.035 0.411 
0.927 1.258 
0.167 0.142 
0.946 1.216 
0.054 0.300 
0.959 1.114 
0.597 0.240 
0.278 0.270 
0.989 1.036 
0.783 0.968 
0.968 1.385 
0.850 0.927 
0.041 0.315 
0.056 0.033 
0.969 1.049 
0.013 0.337 
0.263 0.227 
0.498 0.471 
0.991 1.471 
0.010 0.485 
0.073 0.480 
0.282 0.042 
0.941 1.023 
0.993 1.138 
0.312 0.380 
0.789 0.534 
0.558 0.344 
0.744 0.498 
0.930 0.954 
0.904 0.937 
0.008 0.060 
0.036 0.190 
0.937 0.906 
0.806 0.917 
0.086 0.476 
0.329 0.322 
0.712 0.632 
0.018 0.457 
0.014 0.161 
0.971 1.144 
0.830 0.923 
0.032 0.055 
0.179 0.435 
0.715 0.843 
0.250 0.404 
0.988 1.266 
0.087 0.059 
0.068 0.407 
0.706 0.664 
0.951 1.194 
0.022 0.490 
0.031 0.434 
0.954 1.150 
0.666 0.779 
0.672 0.775 
0.170 0.280 
0.016 0.145 
0.784 0.759 
0.659 0.711 
0.873 0.772 
0.060 0.424 
0.562 0.461 
0.076 0.070 
0.329 0.219 
0.991 1.279 
0.008 0.081 
0.884 1.007 
