0.000 0.000 
0.224 0.067 
0.449 0.309 
0.673 0.781 
0.898 1.516 
1.122 2.519 
1.346 3.761 
1.571 5.182 
1.795 6.687 
2.020 8.161 
2.244 9.476 
2.468 10.501 
2.693 11.122 
2.917 11.255 
3.142 10.857 
3.366 9.942 
3.590 8.587 
3.815 6.934 
4.039 5.191 
4.264 3.618 
4.488 2.519 
4.712 2.221 
4.937 3.048 
5.161 5.302 
5.386 9.228 
5.610 14.997 
5.834 22.675 
6.059 32.211 
6.283 43.426 
6.508 56.007 
6.732 69.515 
6.956 83.402 
7.181 97.034 
7.405 109.727 
7.630 120.783 
7.854 129.539 
8.078 135.410 
8.303 137.939 
8.527 136.833 
8.752 132.002 
8.976 123.582 
9.200 111.947 
9.425 97.709 
9.649 81.699 
9.874 64.938 
10.098 48.589 
10.322 33.901 
10.547 22.139 
10.771 14.511 
10.996 12.090 
