0.000 0.241 
0.224 0.141 
0.449 0.357 
0.673 0.793 
0.898 0.671 
1.122 0.716 
1.346 1.195 
1.571 1.114 
1.795 1.109 
2.020 0.665 
2.244 0.910 
2.468 0.460 
2.693 0.561 
2.917 0.021 
3.142 -0.020 
3.366 -0.348 
3.590 -0.402 
3.815 -0.405 
4.039 -1.027 
4.264 -1.043 
4.488 -1.050 
4.712 -1.235 
4.937 -0.796 
5.161 -0.718 
5.386 -0.548 
5.610 -0.633 
5.834 -0.305 
6.059 -0.386 
6.283 0.031 
6.508 0.176 
6.732 0.430 
6.956 0.791 
7.181 0.826 
7.405 0.795 
7.630 0.795 
7.854 0.950 
8.078 1.159 
8.303 0.716 
8.527 0.835 
8.752 0.795 
8.976 0.668 
9.200 0.038 
9.425 -0.151 
9.649 -0.192 
9.874 -0.279 
10.098 -0.634 
10.322 -0.605 
10.547 -1.112 
10.771 -1.047 
10.996 -1.214 
